name,segment,registry_id,reason
Scoreone Financing Corp,lending_company,CS201919995,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Second Pay Financing Inc,lending_company,CS201908038,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
"Singularity Financing Inc. doing business under the name/s and style/s of LPeso, Pesoplus, Wecash, Cashnow, Gopeso, Pesofree and Paay Crediti (formerly Singularity Lending Inc.)",lending_company,2021060015436-59,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Skyro Lending Inc (Formerly Jungle Lending Inc),lending_company,CS202002223,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
"Snapcash Lending, Inc.",lending_company,CS201804836,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Sofi Financing Inc. operating under the name of Finbro.ph ( Formerly Sofi Lending Inc operating under the name of Finbro.ph),lending_company,CS201908275,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Streetcorner Finance Co. Inc,lending_company,CS201728431,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Streetcorner Lending Corp. Doing Business Under The Name And Style Of Akulaku,lending_company,CS201606603,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
SULIT LENDING CORPORATION Doing business under the name of “GoraLoan” and “PeraSure” (formerly E-Borrow Lending Corp.),lending_company,2020100002616-03,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Sumisho Motor Finance Corporation,lending_company,CS200917691,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
"Sumulong Financing Inc., doing business under the name/s and style/s of GoPeso, FastPeso, and Fundly.",lending_company,CS201915712,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
SunLoan Lending Investors Corporation,lending_company,CS201900565,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Sunprime Finance Inc,lending_company,CS201916698,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
SUPER-SPACE PH LENDING INC. doing business under the name and style PesoKuwento and PesoHere,lending_company,CS2021030008899,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Supreme Money Lending Corp,lending_company,CS202001119,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
SURITY CASH LENDING INVESTORS CORP.,lending_company,CS201910185,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Tala Financing Philippines Inc,lending_company,CS201710582,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Tekwang Lending Corp,lending_company,CS201911369,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Temple Tech Finance Corp.,lending_company,CS201820732,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
The Golden Legacy Financing Corporation,lending_company,193697,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Thrift Platinum Lending Corp.,lending_company,2020120004404-02,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Tiwala Lending Corp,lending_company,CS201816691,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Toyota Financial Services Philippines Corporation,lending_company,CS200251691,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Vamo Lending Inc.,lending_company,CS20200000915,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Vidalia Lending Corp.,lending_company,CS200813771,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Warm Cash Lending Corp.,lending_company,2021030009095,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Wefund Lending Corp.,lending_company,CS201825672,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
"Wing of Integrity Lending Corp. doing business under the names and styles of Bene, and Easy Borrow",lending_company,CS201916097,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Xlkash Lending Corp.,lending_company,CS201917309,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Y Finance Inc.,lending_company,CS201800494,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Yinshan Lending Inc.,lending_company,CS201900108,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
Yulon Finance Philippines Corporation,lending_company,CS201806119,API credit balance exhausted during the run of 2026-09-18; the run was stopped at 142 of 174 seeds
