name,registry_id,hq,extra
Advance Credit Bank (A Rural Bank) Corp.,87,"Stop Over Commercial Complex, Mac Arthur Highway (Namkwang Road) corner Gerona-Pura Road, Brgy. Abagon, Gerona, Tarlac",
Agribusiness Banking Corporation - A Rural Bank,88,"ROPALI Plaza Building Escriva Drive cor. Gold Loop, Ortigas Center Brgy. San Antonio, Pasig City",
"Agricultural Bank of the Philippines, Inc. (A Rural Bank)",89,"121 Don Placido Campos Avenue, Dasmariñas, 4114 Cavite",
"Aliaga Farmers Rural Bank, Inc.",90,"General Luna St., Poblacion West III, Aliaga, Nueva Ecija 3111",
"Anilao Bank (Rural Bank of Anilao (Iloilo), Inc.",91,"T. Magbanua St., Pototan, Iloilo",
"ARDCIBank, Inc., A Rural Bank",92,"G/F ARDCI Corporate Building, San Roque, Virac, Catanduanes",
"ASENSO Rural Bank of Bautista, Inc.",93,"Poblacion East, Bautista, Pangasinan 2424",
"Aspac Rural Bank, Inc.",94,"Aspac Bank Building, Mc Briones Highway Corner Gen Ricarte Street, Guizo Mandaue City, Cebu",
"AuroraBank (A Rural Bank), Inc.",95,"105 Rizal Street corner Lumasac Street, Barangay 05, Baler, Aurora",
"Baclaran Rural Bank, Inc.",96,"83 Redemptorist Rd., Baclaran, Parañaque City",
"Balanga Rural Bank, Inc.",97,"Don Manuel Banzon Ave., Doña Francisca Subdivision, Balanga City, Bataan",
"Baliuag Rural Bank, Inc.",98,"Benigno S. Aquino Avenue, Poblacion, Baliaug, 3006 Bulacan",
"Banco Abucay, Inc.",99,"#136 National Road, Brgy. Wakas, Orion, Bataan 2102",
"Banco Bakun, Inc. (A Rural Bank)",100,"Antamok Tram, Ucab, Itogon, Benguet",
Banco Cooperativa De Zamboanga,101,"Sta Cruz Commercial Complex Bus Terminal, Camino Nuevo, Zamboanga City",
"Banco De Calamba, Inc. (A Rural Bank)",102,"Corner F. Mercado and Burgos Sts., Brgy. 6. Calamba City, Laguna",
"Banco de Mindoro, Inc. (A Rural Bank)",103,"M. Adriatico Corner Paras St., Barangay Ibaba East, Calapan, Oriental Mindoro",
"Banco Mexico, Inc. (A Rural Bank)",104,"GSO National Road, Parian, Mexico, Pampanga",
"Banco San Jose (Camsur), Inc. – A Rural Bank",105,"Mendoza St., San Antonio, San Jose, Camarines Sur 4423",
"Banco San Vicente, Inc. (A Rural Bank)",106,"San Vicente, Camarines Norte",
"Banco Santiago De Libon, Inc., (A Rural Bank)",107,"San Francisco St., Libon, Albay",
"Banco Sual (A Rural Bank), Inc.",108,"Poblacion, Sual, Pangasinan",
"Bangko Kaisa, Inc. (Formerly: Rural Bank of Bugasong (Antique), Inc.)",109,"Bonifacio St., Pojo, Bugasong, Antique 5704",
"Bangko Mabuhay (A Rural Bank), Inc.",110,"Bangko Mabuhay Building, A. Soriano Highway, Brgy. Daang Amaya III, Tanza, 4108 Cavite",
"Bangko Magsaysay (Isabela), Inc. - A Rural Bank",111,"Brgy. Magsaysay, Poblacion, Saguday, Quirino 3401",
"Bangko Montañosa, Inc. (A Rural Bank)",112,"Provincial Road, Barangay Bulanao, Tabuk City, 3800 Kalinga",
"Bangko ng Kabuhayan, (A Rural Bank) Inc.",113,"Unit A, GF, Rayle Bldg. 52 Dr. Sixto Antonio, Kapasigan, Pasig City 1600",
"Bangko Nuestra Senora Del Pilar, Inc. (A Rural Bank)",114,"Bangko Nuestra Señora Del Pilar Building, MacArthur Highway, San Agustin, San Simon, Pampanga",
Bangko Pasig (Rural Bank),115,"Unit 510 Prestige Tower Office Condominium Bldg., F. Ortigas Jr. Road, Brgy. San Antonio, Ortigas Center, Pasig City",
"Bangko Rural ng San Teodoro, Inc.",116,"VCBG Building Poblacion, San Teodoro, Oriental Mindoro",
"Bank of Hope, Inc. (A Rural Bank)",117,"Purok 5, Looc Proper, 7209 Plaridel, Misamis Occidental",
"Bank of Ormoc, Inc. (A Rural Bank)",118,"Mabini St., Ormoc City, 6541 Leyte",
"Banko Zambaleño Inc., (BZI) (A Rural Bank)",119,"Candelaria, Zambales",
"Bankways, Inc. (A Rural Bank)",120,"Bankways Building, Gov. M. Cuenco, Sitio Baca Banilad, Cebu City 6000 Cebu",
"Bannawag Bank, Inc. (A Rural Bank)",121,"Camilio Osias Street, Balaoan, La Union",
"Batangas Rural Bank for Cooperatives, Inc.",122,"Pastor Ave., New Public Market, Cuta, Batangas City",
"Bayanihan Bank, Inc",123,"111 Quezon St., Atimonan, Quezon 4331",
"Baybank, Inc. (A Rural Bank)",124,"Gomez St., Poblacion, Baganga, 8204 Davao Oriental",
"Benguet Center Bank, Inc. A Rural Bank",125,"Poblacion, Sablan, Benguet 2614",
"BHF Rural Bank, Inc.",126,"Mayombo District, Dagupan City, Pangasinan 2400",
"BINHI Rural Bank, Inc. (Formerly: Rural Bank of Balingasag (Misamis Oriental), Inc.)",128,"Leope Building, Claro M. Recto Avenue, Brgy. 25, Cagayan De Oro City, Misamis Oriental 9000",
"Biñan Rural Bank, Inc.",127,"M. Manabat St., Brgy. San Antonio, Biñan, Laguna",
"BOF, Inc. (A Rural Bank)",129,"BOF Corporate Center, Jose Abad Santos Avenue, San Jose, City of San Fernando, Pampanga 2000, Philippines",
"Bolbok Rural Bank, Inc.",130,"002 Mojica Street, Poblacion, 4226 San Juan, Batangas",
"BRIC Bank, Inc. A Rural Bank",131,"Ground Floor, CTPI Building, San Miguel, Cordova Cebu",
"Bukidnon Bank, Inc. (A Rural Bank)",132,"Poblacion, Kalilangan, Bukidnon",
"Butuan City Rural Bank, Inc.",133,"A. D. Curato St., Butuan City, Agusan del Norte",
"Cagsawa Rural Bank, Inc.",134,"#281 VNB Building, T. Perez Street, San Roque, Daraga, Albay",
"Camalig Bank, Inc. (A Rural Bank)",135,"Rizal Street, Ilawod East, 4500 Legazpi City, Albay",www.camaligbank.com.ph
"Camiling Rural Bank, Inc.",136,"Camiling Rural Bank Building, Romulo Highway Quezon Avenue, Poblacion C, Camiling 2306 Tarlac",
"Cantilan Bank, Inc. (A Rural Bank)",137,"Orozco St., Magosilom, Cantilan, Surigao del Sur 8317",
"Card Bank, Inc. (A Microfinance - Oriented Rural Bank)",138,"35 P. Burgos St. Corner M. Paulino St., San Pablo City, Laguna",
"CARD MRI Rizal Bank, Inc., A Microfinance-Oriented Rural Bank",139,"Aguirre St. Corner Pedro Guevarra Avenue, Sta. Cruz, Laguna 4009",
"Caritas Banco ng Masa, Inc. (A Rural Bank)",140,"Easy Mart Compound, 4215 Calatagan, Batangas",
"Cebuana Lhuillier Rural Bank, Inc.",142,"160 Zapote Road, Barangay Zapote I, Bacoor, Cavite",
"Century Rural Bank, Inc.",143,"CRBI Building, Zone 1, Bgy. Villarica, Babak District, Island Garden City of Samal, 8119 Davao del Norte",
"Chosen Bank (A Rural Bank), Inc.",273,"Ground Floor, JILCF Main Building., 101 MacArthur Highway, Bunlo, Bocaue, Bulacan 3018",
"Citizen's Rural Bank (Cabiao), Inc.",144,"San Juan North, 3107 Cabiao, Nueva Ecija",
"Classic Rural Bank, Inc.",145,"G/F Classic Bank Bldg., Evangelista St., Batangas City",
"Common Wealth Rural Bank, Inc.",146,"Amity Building, National Highway, Cauayan, Isabela",
"Community Rural Bank of Dapitan City, Incorporated",147,"Andres Bonifacio Avenue, Bagting, Dapitan City 7101 Zamboanga del Norte",
"Community Rural Bank of San Gabriel (La Union), Inc.",148,"Poblacion, San Gabriel, La Union",
Cooperative Bank of Benguet (CBB),149,"JC 225 Central Pico, Km 5, La Trinidad, Benguet 2601",www.cbbenguet.com
Cooperative Bank of Cagayan,150,"Diversion Road, San Gabriel, Tuguegarao City, Cagayan",
Cooperative Bank of Cebu,151,"M. Velez Street, Guadalupe, Cebu City 6000",
Cooperative Bank of Cotabato,152,"CBC Bldg. 1, Lanao, Kidapawan City, North Cotabato 9400",
Cooperative Bank of La Union,153,"CBLU Bldg., National Highway, Sta. Barbara, Agoo, La Union",
Cooperative Bank of Mt. Province,154,"Cor. Loc-ong st., 1st floor, CBMP Building, Road Level, Poblacion, Bontoc, 2616 Mountain Province",
Cooperative Bank of Negros Oriental,155,"CBNO Bldg., Libertad St., 6200 Dumaguete City",
Cooperative Bank of Nueva Vizcaya,156,"Burgos cor Gaddang Sts., Quirino, Solano, Nueva Vizcaya",
Cooperative Bank of Palawan,157,"CBP Bldg. Junction I, National Highway, Brgy. San Miguel, Puerto Princesa City, 5300 Palawan",www.cbp.com.ph
Cooperative Bank of Quezon Province,158,"Granja cor. L. Guinto Sts., Lucena City, Quezon",www.cbqp.com.ph
Cooperative Bank of Zambales,159,"Rizal Ave. corner Gomez St. Zone II, Iba, Zambales 2201",
"Cordillera Bank, Inc. (A Rural Bank)",160,"No. 31 Mena Crisologo St., Barangay 1, Vigan, Ilocos Sur",
"Crown Bank, Inc. (A Rural Bank)",161,"Mac Arthur Highway, San Vicente, Apalit, 2016 Pampanga",
"CSFirst Bank, INC. -A Rural Bank",162,"Ground Floor, Royal Mall Complex, J.P. Rizal Street, Zone 1, Bayambang, Pangasinan",
"Cuyapo Rural Bank, Inc.",163,"No. 2 Quezon Ave. St., Brgy. Poblacion, Cuyapo, 3117 Nueva Ecija",
"Diamond Rural Bank, Inc.",164,"No. 117 Hilltop Road, Baguio City",
"Dumaguete Rural Bank, Inc.",165,"San Jose St., Poblacion 6, Dumaguete City, 6200 Negros Oriental",
"Dungganon Bank (A Rural Bank), Inc.",166,"G/F NWTF Bldg., 102 San Sebastian-Verbena Streets, Bacolod City, 6100 Negros Occidental",
"East West Rural Bank, Inc.",167,"3rd and 4th floors, East West Bank Building, J. P. Laurel Avenue Corner Iñigo Street, Bajada, Davao City 8000",
ECCOBANK (A Rural Bank) Inc.,168,"No. 112 Rizal Street, Brgy. Poblacion, San Isidro, Nueva Ecija",
"Enterprise Bank, Inc. (A Rural Bank)",169,"Km. 5, Buhangin, 8000 Davao City",www.enterprisebank.ph
"Enterprise Capital Bank, Inc. (Taguig Rural Bank)",170,"Amber Place, 67 Bayani Road, Fort Bonifacio, 1630 Taguig City, Metro Manila",
"Entrepreneur Rural Bank, Inc.",171,"63 A. Mabini St., Barangay Poblacion, San Pedro, 4023 Laguna",
Far Eastern Bank (A Rural Bank) Inc.,172,"Brgy. 7 Market Site, Dolores, 6817 Eastern Samar",
"Farm Bank, Inc. (A Rural Bank)",173,"Teodoro Arcenas Trade Center, Plaridel St., Barangay 8, Roxas City, 5800 Capiz",
"FBC First Bank of Calaca, Inc.",174,"137 Marasigan St., Poblacion 3, Calaca, 4212 Batangas",
Filidian Rural Bank of Antipolo Inc.,175,"#6 Sen. Lorenzo Sumulong Memorial Circle, Brgy. Dalig, Antipolo, 1870 Rizal",
"First Community Bank, Inc. (A Rural Bank)",176,"G/F Villasor-Villanueva Bldg., No. 59 Locsin Street, Barangay 37, Bacolod City, 6100 Negros Occidental",
"First Imperial Business Bank, Inc. (A Rural Bank)",177,"BCB Building, Simon Ledesma Street, Jaro, Iloilo City",
"First Integrity Bank, Inc. (Rural Bank of Bailen)",178,"1655 Calle Real St., Brgy. Poblacion I, General E. Aguinaldo, Cavite 4124",
"First Isabela Cooperative Bank, Inc. (Ficobank)",179,"Minante I, Cauayan City Public Mkt, Cauayan City (Executive Address: 2nd Floor, FICO Bank Corporate Center, Minante 1, Cauayan City, 3305 Isabela)",www.ficobank.com
"First Mindoro Microfinance Rural Bank, Inc.",180,"First Microbank Building, JP Rizal St., Poblacion, Bongabong, 5211 Oriental Mindoro",
"First Philippine Partners Bank, Inc. (A Rural Bank)",181,"National Highway, Pitogo, Consolacion, 6001 Cebu",
"First State Bank, Inc., A Rural Bank",182,"Ground Floor Door 1, MFC Building, Lacson-Hernaez Sts., Brgy. 22, 6100 Bacolod City, Negros Occidental",
"First TruBank (A Rural Bank), Inc.",183,"Bonifacio cor. Rizal Sts., 8100 Tagum City, Davao del Norte",www.trubank.com
"First United Farmers Rural Bank, Inc.",184,"Brgy. Callos, Sta. Cruz, Laguna",
