name,registry_id,hq,extra
"1st Valley Bank, Inc. A Development Bank",82,"Vamenta Blvd., corner Lirio St., Carmen, 9000 Cagayan de Oro City",www.1stvalleybank.com
"AllBank (A Thrift Bank), Inc.",67,"2/F AllBank Bldg., EDSA cor. Cornell St., Brgy. Wack-Wack, Mandaluyong City, Philippines",
"Bangko Kabayan, Inc. (A Private Development Bank)",83,"Santiago St., Poblacion, Ibaan, Batangas",
"Bank of Makati (A Savings Bank), Inc.",84,"Bank of Makati Building, Ayala Avenue near corner Metropolitan Avenue, Makati City",https://www.bankofmakati.com.ph
Bank One Savings Corporation,45,"4201 Ramon Magsaysay Blvd., Sta. Mesa, Manila 1016",
Bataan Development Bank,46,"3 Aguirre St., Poblacion, Balanga, 2100 Bataan",
"BDO Network Bank, Inc.",86,"ONB Center, Km. 9, Sasa, Davao City 8000",https://www.onenetworkbank.com.ph/
"BPI Direct BanKO, Inc., A Savings Bank",47,"220 Ortigas Avenue, BanKO center North Greenhills, San Juan City 1503",http://www.bpi.com.ph
"CARD SME Bank, Inc. A Thrift Bank",48,"120 M. Paulino St. Corner Burgos st., San Pablo City, Laguna",
Century Savings Bank Corporation,49,"232 Shaw Blvd. cor. Oranbo Drive, 1603 Pasig City",
"China Bank Savings, Inc.",50,"CBS Building, 314 Sen. Gil Puyat, 1226 Makati City",
"City Savings Bank, Inc.",51,"Ground 29th and 35th Floors UnionBank Plaza, Meralco Avenue, Corner Sapphire and Onyx Streets, Ortigas Center, Pasig City",
"Citystate Savings Bank, Inc.",52,"Citystate Center Building, 709 Shaw Blvd., Oranbo, 1600 Pasig City",http://www.citystatesavings.com/
"Cordillera Savings Bank, Inc.",53,"Dumlao Blvd., Salvacion, Bayombong, 3700 Nueva Vizcaya",http://www.cordillerasb.wordpress.com
"Dumaguete City Development Bank, Inc.",54,"Dr. Vicente Locsin cor. Cervantes Sts., Dumaguete City",
"Equicom Savings Bank, Inc.",55,"6th Floor ODC International Plaza Building, 219 Salcedo Street, Legaspi Village, Makati City",https://www.equicomsavings.com
"First Consolidated Bank, Inc. (A Private Development Bank)",56,"No. 0982 C.P. Garcia North Avenue, Taloto, Tagbilaran City",http://www.fcb.com.ph
Hiyas Banking Corporation (A Thrift Bank),57,"Gov. Fortunato F. Halili Ave., Bagbaguin, Sta. Maria, Bulacan",
"ISLA Bank (A Thrift Bank), Inc.",59,"G/F & 2/F Glass Tower, 115 C. Palanca, Jr. St., Legaspi Village 1229 Makati City",
"Legazpi Savings Bank, Inc.",60,"738 Building Rizal Street, Old Albay, Legazpi City",www.legazpisavings.com
"Lemery Savings and Loan Bank, Inc.",61,"105 Ilustre Avenue, Lemery, Batangas",
"Life Savings Bank, Inc.",62,"Units 13-14 Marieta Arcade, Marcos Highway corner A. Tuazon, Cainta, Rizal",
LOLC Bank Philippines Incorporated (A Thrift Bank),58,Lot 17 Blk 4 President Laurel Highway Poblacion IV Tanauan City,
Luzon Development Bank,63,"LDB Corporate Center, National Highway, Paciano Rizal, Calamba City, Laguna",www.ldb.ph
Makiling Development Bank Corporation,85,"Gate 1, YTMI Realty SEZ, Brgy. Makiling, Calamba City, 4027 Laguna",
"Malayan Savings Bank, Inc.",64,"Majalco Bldg., cor. Benavidez & Trasierra Sts., Legaspi Village, Makati City 1229",
"Northpoint Development Bank, Inc.",66,"3rd Floor & 4th Floor S.P. Junction Bldg., National Highway Corner A. Mabini St., Brgy. Nueva, San Pedro City, Laguna",
"Pacific Ace Savings Bank, Inc.",68,"Ground Floor, The Garden by Pacific Ace, Rizal Highway corner Aguinaldo Street, Subic Bay Freeport Zone, Olongapo City",
Pampanga Development Bank,69,"McArthur Highway, Dolores, San Fernando City, 2000 Pampanga",
"Penbank, Inc. (A Private Development Bank) (formerly: Peninsula Rural Bank, Inc.)",70,"3/F Penbank Centre, RDRDC Building, Santiago Blvd., Gen. Santos City, South Cotabato 9500",
"Phil Star Development Bank, Inc.",73,"Alpa Hotel, Tolentino Road, Kumintang Ibaba, Batangas City",
"Philippine Business Bank, Inc., A Savings Bank",71,"350 Rizal Ave. Ext. cor. 8th Ave., Grace Park, Caloocan City 1403",http://www.pbb.com.ph
Philippine Savings Bank,72,"PSBank Center, 777 Paseo de Roxas cor. Sedeno St., Makati City",http://www.psbank.com.ph
Producers Savings Bank Corporation,74,"17F AIC Burgundy Empire Tower, ADB Avenue corner Sapphire St., Ortigas Center, 1605 Pasig City",www.producersbank.com.ph
"Queen City Development Bank, Inc. or Queenbank, A Thrift Bank",75,"Queenbank Financial Center, Sky City Tower, Mapa St., Iloilo City 5000",
RCBC Microbank - A Thrift Bank Inc.,65,"AndaRizal Center, Rizal Corner Anda Street, Barangay 3-A, Davao City",
"Sterling Bank of Asia, Inc. (A Savings Bank)",76,"Sterling Bank Corporate Center, Ortigas Avenue, Greenhills, 1500 San Juan City",
"Sun Savings Bank, Inc.",77,"No. 45 Don Gil Garcia corner Escario Streets, Cebu City",www.sunsavings.ph
UCPB Savings Bank,79,"18/F UCPB Bldg., Makati Avenue, Makati City 0728",http://www.ucpb.com
"University Savings Bank, Inc.",80,"3rd Floor Corporate Building, UPHSL Compound, Sto. Niño, Biñan, Laguna",
Wealth Development Bank Corporation,81,"Taft Financial Center, Cardinal Rosales Ave., Cebu Business Park, Cebu City 6000",
"Yuanta Savings Bank Philippines, Inc.",78,"G/F Chatham House Condominium, 116 Valero cor. V.A. Rufino Sts. , Salcedo Village, 1227 Makati City",www.yuanta.com.ph
