name,registry_id,hq,extra
1 2 3 FINANCE CORPORATION,1161,Philippines,
1 LOYALTY FINANCING CORP.,F-22-0037-73,Philippines,
1109 Nikkia Financing Inc.,1184,Philippines,
168 LEGRAND FINANCING CORPORATION,865,Philippines,
1SARI FINANCING CORP.,F-22-0023-61,Philippines,
1Sari Financing Corp.,F-22-0023-61,Philippines,
2-M POWER FINANCING CORP.,1146,Philippines,
216 BAYAN FINANCING COMPANY INC.,1119,Philippines,
"24 - 25 FINANCE CORP.(formerly: 24-25 lending investor, inc.)",282,Philippines,
2CASH FINANCE CORP. Doing business under the name/s and style/s of Peradito and EZPera,F-22-0036-55,Philippines,
3 CENTS FINANCING CORPORATION,957,Philippines,
"4D FINANCE CO., INC.",449,Philippines,
7R FINANCE CORP.,1100,Philippines,
88 ASIA FINANCE CORPORATION,1155,Philippines,
"A & M FINANCING, INC.",904,Philippines,
"A-1 FINANCIAL SERVICES, INC.",273,Philippines,
"A-1 MICRO FINANCE, INC.",235,Philippines,
A.A.T. LOAN AND CREDIT CORPORATION,961,Philippines,
A.J. GILL FINANCING COMPANY INC.,1126,Philippines,
A2Z TECH FINANCE CORPORATION,F-21-0015-35,Philippines,
AACT MONEYLINK CORPORATION,1084,Philippines,
ABC FINANCE CORPORATION,1224,Philippines,
"ABG BACOLOD FINANCING, INC.",439,Philippines,
ABU-EMP FINANCING INC. (FORMERLY: ABU-EMP UNLIMITED CREDIT RESOURCES INC.),1307,Philippines,
"AC (ILOILO) FINANCE, INC.",387,Philippines,
ACCESS CHARTERED FINANCE INC.,149,Philippines,
ACCESS FINANCING DEPOT INC.,1284,Philippines,
ACOM CONSUMER FINANCE CORPORATION,1140,Philippines,
ACP FINANCING CORPORATION,662,Philippines,
ACTIVE ALLIANCE FINANCE CORPORATION,520,Philippines,
ADEQU8 FINANCING INC.,1118,Philippines,
"Advance Finance Solutions, Inc.",F-22-0029-37,Philippines,
ADVENT CAPITAL AND FINANCE CORPORATION (formerly: ALL ASIA CAPITAL & TRUST CORP.),9,Philippines,
AEON CREDIT SERVICE (PHILIPPINES) INC.,1055,Philippines,
AERO FINANCING AND LEASING INC.,1237,Philippines,
AF CORNER FINANCE CORPORATION,679,Philippines,
AFC SME FINANCE INC.,1183,Philippines,
AG FINANCE INCORPORATED (Formerly: SUNPRIME FINANCE INC.),1056,Philippines,
AGC COMMON FUND FINANCIAL CORPORATION,713,Philippines,
AGRIFUND AP FINANCE CORP.,1137,Philippines,
AGRONOMIKA FINANCE CORPORATION,1116,Philippines,
AHAVA FINANCE CORPORATION,879,Philippines,
AIO FINANCE GROUP INC. (Formerly: CICC Finance Group Inc.),1079,Philippines,
