name,registry_id,hq,extra
043 LENDING SERVICES CORP.,L-22-0238-36,Philippines,
0487 ATM CREDIT CORPORATION,1453,Philippines,
1 2 3 LENDING CORPORATION,CEO-240,Philippines,
1 LOYALTY LENDING INVESTOR CORP.,3446,Philippines,
1-PENTAGON CREDIT AND LENDING CORPORATION,3367,Philippines,
10.22 MICRO LENDING INC.,2105,Philippines,
1008 CREDIT CORPORATION,1665,Philippines,
101 INFINITY LENDING PHILS. CORP,1754,Philippines,
1060 LENDING CORP.,1246,Philippines,
1177 CREDIT CORPORATION,1614,Philippines,
125 CASH-CREDIT LENDING SUPPORT CORP.,2722,Philippines,
1420 LENDING CORP.,L-22-0262-16,Philippines,
168 LENDING INVESTOR INC.,449,Philippines,
1828 CREDIT EXPRESS LENDING CORPORATION,L-22-0201-75,Philippines,
1ASIA FAMILY LENDING INVESTORS INCORPORATED,2751,Philippines,
1B Access Lending Corp.,3074,Philippines,
1FAMILIA LENDING CORPORATION,2137,Philippines,
1Second Lending Corp.,3098,Philippines,
1STPRESTIGE CREDIT CORPORATION,1002,Philippines,
2022 AMMI-HAN Lending Solutions Inc.,L-22-0305-17,Philippines,
24K LENDING INVESTOR CORPORATION,013,Philippines,
2A&P LENDING SERVICES CORPORATION,2138,Philippines,
2D's LENDING CORPORATION,2793,Philippines,
2HELP CREDIT INC .,1824,Philippines,
2ND MANILA UNI CAPITAL CORPORATION,924,Philippines,
2P'S GLM LENDING CORP.,L-23-0423-66,Philippines,
2PM LENDING INVESTOR CORP.,2015,Philippines,
3 BROTHERS LENDING CORPORATION,230,Philippines,
3 BUGTE LENDING CORPORATION,2992,Philippines,
312 DKNE LENDING Corporation Doing business under the name and style of 312 DKNE LENDING,3145,Philippines,
321 LENDING CORPORATION,2372,Philippines,
360 ALLIED LENDING CORPORATION,2726,Philippines,
3B'S TOPCASH LENDING CORPORATION,3090,Philippines,
3E AND 4R LENDING INVESTOR CORP.,3484,Philippines,
3J CASHARE CREDIT CORPORATION,1369,Philippines,
3J Credit and Lending Inc.,L-23-0367-44,Philippines,
3J's ALL IN LENDING CORPORATION,3488,Philippines,
3MR OPTIMUS CREDIT CORP.,1374,Philippines,
3PC LENDING CORPORATION,L-23-0448-78,Philippines,
4 KNOTS LENDING ENTERPRISES Corporation,3033,Philippines,
4B1G LENDING INVESTORS INC.,2193,Philippines,
4GIVES LENDING SERVICES CORP.,3423,Philippines,
"4J CITY LINK LENDING, INC.",590,Philippines,
4KB Lending Corporation,L-23-0349-79,Philippines,
"4M DILAG LENDING INVESTORS, INC.",116,Philippines,
4SYT CREDIT CORP.,1422,Philippines,
5 STARS TRIPLE M'S LENDING CORPORATION,676,Philippines,
"5-J.S. STARS LENDING INVESTORS, INC.",057,Philippines,
522 CALACA LENDING CORP.,2732,Philippines,
555 MONEY LENDING INVESTOR INC.,2067,Philippines,
5779 MLINE LENDING CORPORATION,3217,Philippines,
5E MICRO LENDING CORP.,L-23-0402-57,Philippines,
5R'S EMPIRE MICRO LENDING CORPORATION,1616,Philippines,
5STAR EXPRESS LENDING CORP.,164,Philippines,
605 MAPLE AGRO LENDING CORP.,2053,Philippines,
618 SMART LENDING INC.,2909,Philippines,
7-STARWIN PHILIPPINES LENDING CORP. DOING BUSINESS UNDER 7-STARWIN LENDING INVESTOR AND STARWIN LENDING INVESTOR,3188,Philippines,
70x7 CASH SOLUTIONS LENDING CORP.,L-21-0006-37,Philippines,
73 DIAMOND LENDING CORP.,1367,Philippines,
768 LENDING INVESTOR CORP.,1923,Philippines,
786 MONEYLENDING CORPORATION,L-23-0341-54,Philippines,
7EVEN CCB LENDING CORPORATION,2575,Philippines,
8 CARAT CASH AND CREDIT INC.,1695,Philippines,
8 FUNDING CIRCLE LENDING CORP.,3497,Philippines,
8 LUCKY GOLD DRAGONS CREDIT CORP.,1958,Philippines,
8-INFINITY LENDING NETWORK CORP.,2607,Philippines,
"811 MONEY LENDING, INC.",911,Philippines,
"815 CREDIT SERVICES, INC.",671,Philippines,
828 Synergy Lending Corporation,3315,Philippines,
88 INFINITY LENDING POOL INC.,1687,Philippines,
88 Prime Ventures Lending Corporation,L-23-0329-65,Philippines,
888 UNIFIED TRIO LENDING CORPORATION,2884,Philippines,
888PROSPERITY LENDING CORPORATION,1971,Philippines,
8J BUSINESS LENDING CORP.,3179,Philippines,
8R GROUP CREDIT CORP.,1000,Philippines,
915 LENDING SERVICES CORP.,085,Philippines,
928 Credit Concept Lenidng Investor Corporation,3247,Philippines,
99HELP LENDING CORPORATION,1940,Philippines,
9F LENDING PHILIPPINES INCORPORATED,2916,Philippines,
9M LENDING INVESTOR INC.,2148,Philippines,
A & 4M'S LENDING CORPORATION,L-22-0183-40,Philippines,
A & B LENDING INC.,L-23-0431-37,Philippines,
"A & S VENTUREPRENEUR LENDING CORPORATION (FORMERLY: ALYAM & SONS LENDING, INC.)",1732,Philippines,
A AND J LENDING AND FINANCIAL SERVICES CORPORATION,3229,Philippines,
A AND L 3PLITS LENDING INVESTOR CORPORATION,3465,Philippines,
A and P - Lending Machine Corporation Doing Business under the names and styles of The Lending Machine,2960,Philippines,
A BRIGHT STAR LENDING CORPORATION,2777,Philippines,
A_&_K LENDING SOLUTIONS INC.,1187,Philippines,
A-FUND LENDING CORP.,638,Philippines,
A-FUND LENDING CORPORATION,638,Philippines,
A. PASAMONTE LENDING CORP.,2164,Philippines,
A.C. CALAHI LENDING CORP.,491,Philippines,
A.C. QUIZON LENDING INC.,226,Philippines,
A.C. RABAGO LENDING CORP.,1587,Philippines,
"A.D.R.R. MICRO LENDING INVESTORS, INC.",3303,Philippines,
A.J. PARAISO LENDING CORPORATION,2340,Philippines,
A.N.R. LENDING CORPORATION,1392,Philippines,
A'S LENDING CORPORATION,3403,Philippines,
A+PGS CREDIT SERVICES INC.,CEO-066,Philippines,
A1 GOLDEN AGE CREDIT CORP.,068,Philippines,
AA PALAWAN CREDIT & LOANS CORPORATION,1079,Philippines,
AAH BANSAL LENDING AND TRADING CORP.,2483,Philippines,
AAJE SOLID SILVER LENDING INC.,2520,Philippines,
"AAL'S MICRO LOANS & FINANCIAL SERVICES, INC.",020,Philippines,
AARUSH LENDING CORPORATION,2209,Philippines,
AB's Lending Services Corporation,L-23-0496-71,Philippines,
ABANTE! KABAYAN CREDIT CORP.,1778,Philippines,
ABARQUEZ LENDING INVESTORS CORPORATION,2963,Philippines,
ABC ADVANCE BENEFITS CREDIT LENDING INVESTOR INC.,630,Philippines,
ABC QUERIDO SISTERS LENDING CORPORATION,2166,Philippines,
ABECEDE RELIANCE LENDING CORPORATION,1039,Philippines,
ABELLA LENDING INVESTORS CORPORATION,1612,Philippines,
ABHI AND JANVI LENDING INC.,2555,Philippines,
