name,registry_id,hq,extra
163 LENDING CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
AIR FISH LENDING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
Arrofortis Credit Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
BARAKAT LENDING INVESTOR CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
BASIC RESOURCES MICRO-LENDING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
BASSIL & HASS LENDING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
BYMONEY LENDING CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
CASHTREES LENDING CORP,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
DELISHA LENDING INVESTOR AND TRADING CORP,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
DIAMONDSTAR LENDING & CREDIT CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
DRAGON ORAGIF LENDING CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
DRAGOON LENDING CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
EASYPLUS LENDING CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
FAMILYHAN CREDIT CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
FIRST FILIPINO LENDING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
FLYING BEAR LENDING CORP. doing business under Flying Bear Lending and Flying Bear Investor,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
FYNAMICS LENDING INC,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
GINTONG BUKAS LENDING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
GOLDEN ACE LENDING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
GOLDEN SCION LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
